AWAY_NAME,HOME_NAME,AWAY_GamesWon,AWAY_GamesLost,HOME_GamesWon,HOME_GamesLost,HOMEvsAWAY_winRatio,AWAY_longestWinStreak,AWAY_longestLoseStreak,HOME_longestWinStreak,HOME_longestLoseStreak,AWAY_homeTurfAdvantage,HOME_homeTurfAdvantage,AWAY_nonconsecutiveWins,AWAY_nonconsecutiveLosts,HOME_nonconsecutiveWins,HOME_nonconsecutiveLosts,AWAY TEAM 2P %,AWAY TEAM 3P %,AWAY TEAM FT %,AWAY TEAM ALL throws %,HOME TEAM 2P %,HOME TEAM 3P %,HOME TEAM FT %,HOME TEAM ALL throws %,AWAY TEAM FOULS,HOME TEAM FOULS,AWAY TEAM TO,AWAY TEAM OR,AWAY TEAM DR,HOME TEAM TO,HOME TEAM OR,HOME TEAM DR,Q1 lead HOME vs AWAY,Q2 lead HOME vs AWAY,Q3 lead HOME vs AWAY,Q4 lead HOME vs AWAY,diffPTS_Q2,diffPTS_Q3,finalScoreDifferential,HOME_win
GS,SAC,2,4,2,4,0,1,2,2,4,-0.3333,1.0,2,1,0,0,0.48,0.32,0.73,0.46,0.54,0.48,0.71,0.53,15,12,15,14,32,13,11,27,6,11,16,16,2,-7,17,True
HOU,LAL,4,2,4,0,0,3,2,4,0,0.3333,1.0,0,0,0,0,0.44,0.29,0.79,0.41,0.44,0.41,0.71,0.43,12,12,13,9,33,16,9,34,0,0,-2,-2,-8,-5,29,True
MEM,DEN,3,3,2,3,0,1,1,1,2,1.0,0.0,2,3,1,1,0.44,0.35,0.75,0.43,0.47,0.24,0.77,0.43,14,15,16,13,32,14,12,32,0,5,5,2,2,-7,10,True
TOR,CHA,3,2,2,3,0,3,2,1,2,0.0,0.3333,0,0,1,1,0.47,0.4,0.78,0.46,0.5,0.39,0.8,0.47,10,9,13,9,28,17,10,27,0,7,3,3,12,14,-10,False
UTA,NY,5,0,3,2,0,5,0,2,2,1.0,0.3333,0,0,1,0,0.5,0.32,0.7,0.48,0.52,0.37,0.71,0.49,12,11,14,10,27,16,11,35,0,3,5,4,29,15,8,True
MEM,PHO,3,4,5,2,0,1,1,3,1,1.0,0.0,3,3,1,2,0.45,0.34,0.74,0.43,0.51,0.39,0.74,0.48,15,14,17,11,32,13,8,30,-1,-3,-3,-6,-1,4,5,True
NJ,MIA,2,3,3,3,0,1,2,2,1,-0.3333,1.0,2,0,1,2,0.44,0.28,0.76,0.4,0.5,0.39,0.69,0.46,14,12,14,9,30,14,12,30,1,9,9,10,-2,8,5,True
OKC,IND,1,5,2,3,0,1,3,1,2,-0.5,0.3333,1,0,1,1,0.42,0.33,0.75,0.41,0.49,0.36,0.8,0.45,12,12,15,10,31,14,11,30,4,3,4,6,3,4,8,True
POR,ORL,3,3,4,2,0,2,2,4,2,1.0,0.6,1,1,0,0,0.52,0.41,0.81,0.49,0.51,0.28,0.69,0.45,11,10,12,10,25,13,13,30,3,4,4,7,-6,-1,-7,False
TOR,BOS,4,2,6,1,0,3,2,4,1,0.0,1.0,0,0,0,1,0.46,0.38,0.78,0.44,0.44,0.3,0.76,0.41,10,13,13,9,29,15,11,31,1,-1,-1,2,5,4,7,True
