DATE,AWAY_NAME,HOME_NAME,AWAY_2PA,AWAY_2PM,AWAY_3PA,AWAY_3PM,AWAY_FTA,AWAY_FTM,AWAY_TO,AWAY_ORB,AWAY_DRB,HOME_2PA,HOME_2PM,HOME_3PA,HOME_3PM,HOME_FTA,HOME_FTM,HOME_TO,HOME_ORB,HOME_DRB,AWAY_PTS_Q1,HOME_PTS_Q1,AWAY_PTS_Q2,HOME_PTS_Q2,AWAY_PTS_Q3,HOME_PTS_Q3,AWAY_PTS_Q4,HOME_PTS_Q4,AWAY_PTS_FINAL,HOME_PTS_FINAL,HOME_WIN
2008-11-18,CLE,NJ,58,23,17,10,40,30,12,13,37,65,27,14,2,30,22,13,12,27,26,28,49,52,77,65,106,82,106,82,False
2008-11-18,DAL,CHA,59,34,17,4,27,20,17,12,38,70,30,10,1,24,20,14,9,25,28,10,55,35,74,58,100,83,100,83,False
2008-11-18,MIA,WAS,55,27,25,9,21,13,14,12,30,67,29,8,2,27,23,15,7,30,23,17,43,41,73,67,94,87,94,87,False
2008-11-18,MIL,DEN,63,28,20,10,24,19,18,12,26,54,31,15,4,48,40,15,7,26,28,34,50,64,73,91,105,114,105,114,True
2008-11-18,NY,BOS,55,28,30,9,22,18,12,6,30,66,37,13,5,30,21,14,9,36,28,26,47,56,77,89,101,110,101,110,True
2008-11-18,POR,GS,57,25,22,12,29,20,21,14,26,65,30,15,6,35,33,16,12,28,27,24,49,51,73,80,106,111,106,111,True
2008-11-18,SAC,MEM,61,33,19,3,25,19,10,8,25,56,29,16,10,29,21,17,10,36,25,32,47,64,71,90,94,109,94,109,True
2008-11-18,TOR,ORL,66,33,14,2,23,18,24,11,33,58,26,23,11,23,18,17,8,29,26,21,45,45,67,73,90,103,90,103,True
2008-11-19,CHI,POR,66,26,15,2,21,16,21,17,16,67,35,16,7,31,25,17,17,32,13,34,37,62,57,88,74,116,74,116,True
2008-11-19,CLE,DET,51,23,22,8,25,19,14,9,29,63,33,12,5,18,15,12,6,29,24,16,49,38,68,66,89,96,89,96,True
2008-11-19,DAL,HOU,60,29,17,6,26,20,16,5,41,53,23,25,6,31,22,12,7,33,31,25,53,46,72,61,96,86,96,86,False
2008-11-19,DEN,SA,52,24,13,6,31,25,20,6,35,58,27,17,2,28,21,16,12,25,22,21,50,40,75,54,91,81,91,81,False
2008-11-19,LAC,OKC,81,41,16,5,13,11,11,14,30,65,25,10,5,23,23,21,9,33,20,26,49,52,81,68,108,88,108,88,False
2008-11-19,MIL,UTA,65,30,16,6,22,16,18,12,29,66,34,6,3,36,28,11,6,31,16,26,53,51,76,74,94,105,94,105,True
2008-11-19,PHI,MIN,74,39,11,1,23,15,16,11,29,62,34,12,4,30,22,15,6,27,27,24,52,56,65,76,96,102,96,102,True
2008-11-19,SAC,NO,56,34,19,7,21,16,16,11,21,64,38,13,2,17,14,14,13,21,23,29,51,54,77,76,105,96,105,96,False
2008-11-19,TOR,MIA,69,29,13,9,20,16,13,10,33,65,32,23,7,15,10,10,11,30,25,23,47,43,77,67,101,95,101,95,False
2008-11-19,WAS,ATL,60,27,25,8,12,9,12,10,30,59,25,25,8,22,17,17,22,36,26,28,50,44,67,70,87,91,87,91,True
2008-11-20,DET,BOS,55,24,13,5,24,17,17,9,28,59,29,14,7,28,19,13,11,31,21,21,40,49,57,77,80,98,80,98,True
2008-11-20,LAL,PHO,69,32,21,10,14,11,7,9,32,68,32,18,6,15,10,15,12,34,26,24,50,44,80,67,105,92,105,92,False
2008-11-21,BOS,MIN,62,33,13,4,24,17,16,6,39,68,23,15,3,27,23,14,12,29,22,21,36,39,71,49,95,78,95,78,False
